Timestamp,Product_ID,SKU_Name,Category,Region,Vendor,raw_material_energy,raw_material_emission_factor,raw_material_waste,manufacturing_energy,manufacturing_efficiency,manufacturing_water_usage,transport_distance_km,transport_mode_factor,logistics_energy,usage_energy_consumption,usage_duration_hours,grid_carbon_intensity,recycling_efficiency,disposal_emission_factor,recovered_material_value,state_complexity_index,policy_action_score,optimization_reward_signal,total_lifecycle_carbon_footprint,Hash,Prev_Hash,lat,lon
2025-03-20T14:03:38.872050,SKU-10000,Rockwell Automation Allen-Bradley ControlLogix,Industrial Logic Controllers,Frankfurt Logistics Hub,Honeywell International,243.53,0.55,12.5,327.86,0.88,1500,642.06,0.12,120,450,8000,342.45,0.65,0.08,45.0,1.2,0.95,0.88,400.82,2c77fd04436f53dd1fe15b4775b69f9c918e03671d4ebdd64f27ed2dfb3eeefe,0000000000000000000000000000000000000000000000000000000000000000,-17.398128411214195,49.83810823733515
2025-03-21T02:03:38.872050,SKU-10001,General Electric Mark VIe Control System,Industrial Logic Controllers,Shanghai Industrial District,Siemens AG,391.61,0.55,12.5,743.37,0.88,1500,1167.84,0.12,120,450,8000,258.26,0.65,0.08,45.0,1.2,0.95,0.88,728.59,0685baf55d4fb5b08e18ad568eae14d66bc2ed750b8281b7fa1475000ba5a1d1,2c77fd04436f53dd1fe15b4775b69f9c918e03671d4ebdd64f27ed2dfb3eeefe,0.46162774356171354,96.7991573925112
2025-03-21T14:03:38.872050,SKU-10002,Beckhoff New Automation Technology PC,Distributed Control Systems,Ghent Automotive Cluster,Siemens AG,273.69,0.55,12.5,427.84,0.88,1500,3249.39,0.12,120,450,8000,244.65,0.65,0.08,45.0,1.2,0.95,0.88,498.92,83acb4d6bb3237004ded5cd9807134ee36beb90f88404fb6fe22fc282038dbbf,0685baf55d4fb5b08e18ad568eae14d66bc2ed750b8281b7fa1475000ba5a1d1,44.96896067135047,-102.23923486578121
2025-03-22T02:03:38.872050,SKU-10003,Fanuc R-2000iC Industrial Robot,Industrial Networking High-Speed,Ghent Automotive Cluster,ABB Ltd,232.06,0.55,12.5,899.54,0.88,1500,1926.67,0.12,120,450,8000,263.01,0.65,0.08,45.0,1.2,0.95,0.88,770.63,a9fcbec4c53a2533637082650fbcc07d10f9d57eceba67eda06c62af3639ea93,83acb4d6bb3237004ded5cd9807134ee36beb90f88404fb6fe22fc282038dbbf,51.48031748194687,-32.1234539981636
2025-03-22T14:03:38.872050,SKU-10004,General Electric Mark VIe Control System,Distributed Control Systems,Ghent Automotive Cluster,ABB Ltd,97.45,0.55,12.5,455.08,0.88,1500,4417.35,0.12,120,450,8000,339.23,0.65,0.08,45.0,1.2,0.95,0.88,473.76,c7ee2e61f5e6efcd44bfbe2c107824d6f6968590a396d50f68b72f3fe39274d7,a9fcbec4c53a2533637082650fbcc07d10f9d57eceba67eda06c62af3639ea93,-30.136876535644717,-90.30516447360831
2025-03-23T02:03:38.872050,SKU-10005,Phoenix Contact PLCnext Controller,Industrial Networking High-Speed,Shanghai Industrial District,Honeywell International,435.98,0.55,12.5,412.94,0.88,1500,1619.81,0.12,120,450,8000,589.97,0.65,0.08,45.0,1.2,0.95,0.88,606.89,ec40e4dadb3cebd26cfa256d1fd0797a3866d04580d9e4bf9c1b1860450e7a08,c7ee2e61f5e6efcd44bfbe2c107824d6f6968590a396d50f68b72f3fe39274d7,-8.832807141421306,-32.57422844822625
2025-03-23T14:03:38.872050,SKU-10006,Schneider Electric Altivar Variable Speed Drive,Industrial Networking High-Speed,Frankfurt Logistics Hub,Schneider Electric SE,415.45,0.55,12.5,397.0,0.88,1500,3597.84,0.12,120,450,8000,314.91,0.65,0.08,45.0,1.2,0.95,0.88,561.95,65764610e69f96a759b190f4146539ff1e11e230acc10427a4e874ad0349af2f,ec40e4dadb3cebd26cfa256d1fd0797a3866d04580d9e4bf9c1b1860450e7a08,57.13449014232435,11.362296885277118
2025-03-24T02:03:38.872050,SKU-10007,Yokogawa CENTUM VP Integrated Production Control System,Distributed Control Systems,Bangalore Tech Corridor,Siemens AG,71.83,0.55,12.5,430.34,0.88,1500,4612.38,0.12,120,450,8000,290.95,0.65,0.08,45.0,1.2,0.95,0.88,439.42,9782b9c67bb2fe6dc4fc8338109aa0c98a669e8b9d8b662a468d86b4867d1434,65764610e69f96a759b190f4146539ff1e11e230acc10427a4e874ad0349af2f,-21.771692743526604,-5.070507374925583
2025-03-24T14:03:38.872050,SKU-10008,Honeywell Experion PKS Controller,Industrial Logic Controllers,Shanghai Industrial District,ABB Ltd,90.3,0.55,12.5,268.02,0.88,1500,1372.75,0.12,120,450,8000,302.31,0.65,0.08,45.0,1.2,0.95,0.88,295.9,80b3dbdab7ee499c76e764df8ff13e6befd6fca1d7e3567bfb5216b07e5ed27f,9782b9c67bb2fe6dc4fc8338109aa0c98a669e8b9d8b662a468d86b4867d1434,20.966907227623004,-104.23093234351282
2025-03-25T02:03:38.872050,SKU-10009,Emerson DeltaV DCS Node,Robotic Assembly Systems,Shanghai Industrial District,Honeywell International,367.52,0.55,12.5,625.82,0.88,1500,4256.76,0.12,120,450,8000,519.38,0.65,0.08,45.0,1.2,0.95,0.88,739.9,3517ddbe2295e75d637c17922d3e747a3e42c62985debdd87b8ec63ed7a6b333,80b3dbdab7ee499c76e764df8ff13e6befd6fca1d7e3567bfb5216b07e5ed27f,-34.10521209571062,-108.24462045957678
